arquivo,caminho,tipo,classe_real,classe_prevista,probabilidade_tumor,probabilidade_sem_tumor,confianca,acertou
image(1).jpg,externalTest\noTumor\image(1).jpg,Sem tumor,Sem tumor,Sem tumor,0.001767,0.998233,0.998233,True
image(10).jpg,externalTest\noTumor\image(10).jpg,Sem tumor,Sem tumor,Sem tumor,0.001808,0.998192,0.998192,True
image(11).jpg,externalTest\noTumor\image(11).jpg,Sem tumor,Sem tumor,Sem tumor,0.001791,0.998209,0.998209,True
image(12).jpg,externalTest\noTumor\image(12).jpg,Sem tumor,Sem tumor,Sem tumor,0.001826,0.998174,0.998174,True
image(13).jpg,externalTest\noTumor\image(13).jpg,Sem tumor,Sem tumor,Sem tumor,0.001641,0.998359,0.998359,True
image(14).jpg,externalTest\noTumor\image(14).jpg,Sem tumor,Sem tumor,Sem tumor,0.001651,0.998349,0.998349,True
image(15).jpg,externalTest\noTumor\image(15).jpg,Sem tumor,Sem tumor,Sem tumor,0.001719,0.998281,0.998281,True
image(16).jpg,externalTest\noTumor\image(16).jpg,Sem tumor,Sem tumor,Sem tumor,0.001736,0.998264,0.998264,True
image(17).jpg,externalTest\noTumor\image(17).jpg,Sem tumor,Sem tumor,Sem tumor,0.001772,0.998228,0.998228,True
image(18).jpg,externalTest\noTumor\image(18).jpg,Sem tumor,Sem tumor,Sem tumor,0.00182,0.99818,0.99818,True
image(19).jpg,externalTest\noTumor\image(19).jpg,Sem tumor,Sem tumor,Sem tumor,0.001771,0.998229,0.998229,True
image(2).jpg,externalTest\noTumor\image(2).jpg,Sem tumor,Sem tumor,Sem tumor,0.00181,0.99819,0.99819,True
image(20).jpg,externalTest\noTumor\image(20).jpg,Sem tumor,Sem tumor,Sem tumor,0.00181,0.99819,0.99819,True
image(21).jpg,externalTest\noTumor\image(21).jpg,Sem tumor,Sem tumor,Sem tumor,0.0018,0.9982,0.9982,True
image(22).jpg,externalTest\noTumor\image(22).jpg,Sem tumor,Sem tumor,Sem tumor,0.001736,0.998264,0.998264,True
image(23).jpg,externalTest\noTumor\image(23).jpg,Sem tumor,Sem tumor,Sem tumor,0.001805,0.998195,0.998195,True
image(24).jpg,externalTest\noTumor\image(24).jpg,Sem tumor,Sem tumor,Sem tumor,0.001808,0.998192,0.998192,True
image(25).jpg,externalTest\noTumor\image(25).jpg,Sem tumor,Sem tumor,Sem tumor,0.001775,0.998225,0.998225,True
image(26).jpg,externalTest\noTumor\image(26).jpg,Sem tumor,Sem tumor,Sem tumor,0.00178,0.99822,0.99822,True
image(27).jpg,externalTest\noTumor\image(27).jpg,Sem tumor,Sem tumor,Sem tumor,0.001809,0.998191,0.998191,True
